Strategy_name,CE_token,PE_token,combined_sl,triggered,trigger_time,UT_order,UT_SL_x,FDE645,CE_entry,PE_entry,CE_Sqoff,PE_Sqoff,UT_ORDER,UT_SL_y,Id,CE_Price,CE_Strike,PE_Price,PE_Strike,CE_Sqoff_Price,PE_Sqoff_Price,Quantity,UT_Price,UT_SL_Price,straddle_PL,UT_PL,UT_Strike,PE_live_price,CE_live_price,UT_PRICE_Live
09:30_SUT(FN),43934.0,43935.0,220.3,NO,,,,Order Placed,1100061721,1100061724,,,,,FDE645,88.6,21300.0,102.65,21300.0,,,40,,,-1.5500000000000114,,,166.4,26.4,
09:40_SUT(FN),43929.0,43933.0,224.7,NO,,,,Order Placed,1100062686,1100062691,,,,,FDE645,111.8,21250.0,89.1,21250.0,,,40,,,29.799999999999983,,,130.7,40.4,
09:50_SUT(FN),43929.0,43933.0,212.8,NO,,,,Order Placed,1100063786,1100063790,,,,,FDE645,103.15,21250.0,86.1,21250.0,,,40,,,18.150000000000006,,,130.7,40.4,
10:00_SUT(FN),43934.0,43935.0,198.7,YES,145100.0,43907.0,PLACED,UT SL Placed,1100065025,1100065027,1100081507.0,1100081502.0,1100081730.0,1100081821.0,FDE645,53.05,21300.0,91.85,21300.0,23.85,178.95,40,111.4,,-57.900000000000006,-3.5999999999999943,21100_CE,178.95,23.85,115.0
10:10_SUT(FN),43934.0,43935.0,197.3,YES,145000.0,43907.0,PLACED,UT SL Placed,1100065596,1100065603,1100081357.0,1100081350.0,1100081612.0,1100081750.0,FDE645,76.2,21300.0,100.15,21300.0,25.95,166.7,40,111.8,,-16.299999999999955,-3.200000000000003,21100_CE,166.7,25.95,115.0
10:20_SUT(FN),43934.0,43935.0,191.9,YES,145000.0,43907.0,PLACED,UT SL Placed,1100066163,1100066166,1100081356.0,1100081349.0,1100081610.0,1100081749.0,FDE645,81.35,21300.0,90.25,21300.0,25.95,166.9,40,112.05,,-21.25,-2.950000000000003,21100_CE,166.9,25.95,115.0
10:30_SUT(FN),43934.0,43935.0,189.8,YES,144900.0,43907.0,PLACED,UT Placed,1100066672,1100066675,1100081256.0,1100081249.0,1100081476.0,,FDE645,76.0,21300.0,91.65,21300.0,26.3,168.1,40,107.9,,-26.75,-7.099999999999994,21100_CE,168.1,26.3,115.0
10:40_SUT(FN),43934.0,43935.0,185.5,YES,143600.0,43907.0,PLACED,UT SL Placed,1100066975,1100066977,1100080045.0,1100080044.0,1100080129.0,1100080221.0,FDE645,80.25,21300.0,83.25,21300.0,31.55,153.2,40,130.5,,-21.25,15.5,21100_CE,153.2,31.55,115.0
10:50_SUT(FN),43934.0,43935.0,179.0,YES,143700.0,43907.0,PLACED,UT SL Placed,1100067498,1100067501,1100080049.0,1100080047.0,1100080158.0,1100080251.0,FDE645,81.1,21300.0,77.1,21300.0,31.3,152.95,40,130.5,,-26.05000000000001,15.5,21100_CE,152.95,31.3,115.0
11:00_SUT(FN),43936.0,43942.0,182.3,YES,143700.0,43907.0,PLACED,UT SL Placed,1100068400,1100068401,1100079932.0,1100080043.0,1100080157.0,1100080252.0,FDE645,83.75,21350.0,74.3,21350.0,20.4,191.45,40,130.5,,-53.79999999999998,15.5,21100_CE,191.45,20.4,115.0
11:10_SUT(FN),43936.0,43942.0,170.1,YES,143600.0,43907.0,PLACED,UT SL Placed,1100068884,1100068885,1100079861.0,1100079835.0,1100080102.0,1100080184.0,FDE645,70.45,21350.0,82.6,21350.0,20.05,187.2,40,124.95,,-54.19999999999999,9.950000000000003,21100_CE,187.2,20.05,115.0
